user_id,name
8,як
9,RUпы4
1,лучший_кебаб2023
2,no_pizza_time
3,fuck_gg
4,тетя_даун
5,starl1ght
6,shu_bert
7,fishscale
10,mr_poopy
11,c++kills
12,minuspalec
13,koba
14,aizlkel
