hero_id,name
1,batrider
2,undying
3,rubick
4,witch_doctor
5,templar_assasin
6,chaos_knight
7,axe
8,windranger
9,wraith_king
10,dazzle
11,jakiro
12,juggernaut
13,kunkka
14,vengeful_spirit
15,death_prothet
16,lich
17,luna
18,treant_protector
19,invoker
